model,elo,elo-,elo+
REALMLP (T+E),1564,57,73
TABM_GPU (T+E),1541,61,74
GBM (T+E),1527,45,49
CAT (T+E),1482,55,57
CAT (T),1469,49,56
TABM_GPU (T),1447,52,73
GBM (T),1446,37,39
XGB (T+E),1440,47,50
CAT (D),1427,43,52
MNCA_GPU (T+E),1425,67,103
TABPFNV2_GPU (T+E),1405,76,83
XGB (T),1404,44,49
MNCA_GPU (T),1396,44,55
TABICL_GPU (D),1383,64,71
TABM_GPU (D),1343,55,68
REALMLP (T),1342,45,43
TABPFNV2_GPU (T),1336,72,77
NN_TORCH (T+E),1327,53,49
TABPFNV2_GPU (D),1309,81,87
MNCA_GPU (D),1294,48,58
TABDPT_GPU (D),1290,72,79
EBM (T+E),1286,63,59
FASTAI (T+E),1242,64,64
REALMLP (D),1238,47,51
XT (T+E),1236,50,54
EBM (T),1231,55,55
XGB (D),1225,50,49
NN_TORCH (T),1220,54,59
EBM (D),1198,66,64
RF (T+E),1197,56,62
GBM (D),1197,45,44
XT (T),1190,52,55
FASTAI (T),1154,61,60
RF (T),1149,49,59
NN_TORCH (D),1065,49,50
FASTAI (D),1007,71,66
RF (D),1000,44,50
KNN (T+E),984,79,66
XT (D),980,75,72
LR (T+E),967,110,72
LR (T),936,115,72
KNN (T),858,93,64
LR (D),836,136,84
KNN (D),614,133,102
